symbol,direction,score,entry_price,exit_price,pnl_usdt,pnl_pct,hold_candles,exit_reason,slippage_pct,leverage,margin,trail_pct,is_low_liq
XRPUSDT,LONG,79,1.3970886019241984,1.4151347735895043,1.2916984392007165,1.2916984392007163,5,trail_stop,0.06364431486880426,10,10.0,0.015,False
XRPUSDT,SHORT,108,1.4382840310204081,1.4486468816343558,-4.323005911396647,-0.7205009852327745,3,trail_stop,0.06364431486880426,30,20.0,0.015,False
XRPUSDT,SHORT,86,1.4467786212536442,1.4229,2.4757023192276457,1.6504682128184303,24,max_hold,0.06364431486880426,15,10.0,0.015,False
XRPUSDT,LONG,70,1.4072941834576695,1.3981768260013778,-5.830779240841911,-0.6478643600935456,14,trail_stop,0.06364431486880426,30,30.0,0.015,False
XRPUSDT,LONG,81,1.3969885382798832,1.3872673743297235,-1.0437985370441332,-0.6958656913627554,0,trail_stop,0.06364431486880426,15,10.0,0.015,False
XRPUSDT,LONG,79,1.3897209995368716,1.380059905673859,-12.5132806939076,-0.6951822607726444,7,trail_stop,0.06364431486880426,30,60.0,0.015,False
XRPUSDT,LONG,76,1.3910847832653062,1.3793035926221575,-2.5407201886346304,-0.8469067295448768,5,trail_stop,0.06364431486880426,30,10.0,0.015,False
XRPUSDT,LONG,99,1.3415182502033307,1.4076976726093562,59.198081632652986,4.933173469387749,18,take_profit,0.06364431486880426,30,40.0,0.015,False
XRPUSDT,LONG,92,1.330572057024446,1.3165990259293001,-8.401217218641222,-1.0501521523301527,18,trail_stop,0.06364431486880426,20,40.0,0.015,False
XRPUSDT,SHORT,78,1.3554593652449984,1.3970116992134738,-36.786643731778526,-3.065553644314877,14,hard_stop,0.06364431486880426,30,40.0,0.015,False
XRPUSDT,SHORT,75,1.4432417141145093,1.4614224391830355,-15.116573938286573,-1.2597144948572143,3,trail_stop,0.06364431486880426,30,40.0,0.015,False
XRPUSDT,SHORT,90,1.4650879936348025,1.4847996681674447,-10.763407859886227,-1.3454259824857784,6,trail_stop,0.06364431486880426,20,40.0,0.015,False
XRPUSDT,SHORT,74,1.4542738479300292,1.4408969657234694,1.8396648231830781,0.9198324115915391,2,trail_stop,0.06364431486880426,20,10.0,0.015,False
XRPUSDT,LONG,102,1.3924333686606478,1.3898363848295918,-0.9325343278558395,-0.18650686557116788,7,trail_stop,0.06364431486880426,10,50.0,0.015,False
XRPUSDT,LONG,71,1.3628458702538653,1.3469293194484127,-21.022033433962683,-1.16789074633126,6,trail_stop,0.06364431486880426,30,60.0,0.015,False
XRPUSDT,LONG,108,1.3539611712244897,1.3424880385513118,-2.5421259302735737,-0.8473753100911913,19,trail_stop,0.06364431486880426,30,10.0,0.015,False
XRPUSDT,LONG,111,1.2875521147578226,1.327525567378134,49.67373627787349,3.104608517367093,13,trail_stop,0.06364431486880426,20,80.0,0.015,False
XRPUSDT,SHORT,67,1.4260917956268222,1.3823957567112244,12.25616444876656,3.06404111219164,21,trail_stop,0.06364431486880426,20,20.0,0.015,False
XRPUSDT,LONG,70,1.3542613621574344,1.3497723995172013,-0.6629388928414666,-0.3314694464207333,1,trail_stop,0.06364431486880426,20,10.0,0.015,False
XRPUSDT,SHORT,112,1.3989569283653462,1.3652,28.956083791477912,2.4130069826231595,24,max_hold,0.06364431486880426,20,60.0,0.015,False
XRPUSDT,LONG,68,1.3588642897959184,1.3444597039180708,-3.1801378517374266,-1.0600459505791422,1,trail_stop,0.06364431486880426,30,10.0,0.015,False
XRPUSDT,LONG,69,1.3441549340816326,1.3481974025516033,0.9022327041635193,0.3007442347211731,5,trail_stop,0.06364431486880426,30,10.0,0.015,False
XRPUSDT,SHORT,114,1.3973623736955252,1.4043337100908162,-4.988925225497748,-0.4988925225497748,6,trail_stop,0.06364431486880426,20,50.0,0.015,False
XRPUSDT,SHORT,83,1.4520852333564371,1.428,33.17330526220577,1.6586652631102885,24,max_hold,0.06364431486880426,20,100.0,0.015,False
XRPUSDT,LONG,68,1.390284274110787,1.3726098555183674,-1.2712809115045178,-1.2712809115045178,1,trail_stop,0.06364431486880426,10,10.0,0.015,False
XRPUSDT,LONG,74,1.357282096966727,1.3653,10.633180450950261,0.5907322472750146,24,max_hold,0.06364431486880426,30,60.0,0.015,False
XRPUSDT,LONG,76,1.3549618076676386,1.3638,1.9568505065633284,0.6522835021877761,24,max_hold,0.06364431486880426,30,10.0,0.015,False
XRPUSDT,SHORT,73,1.4042057337317784,1.4020992889132653,0.4500291021277302,0.15000970070924338,7,trail_stop,0.06364431486880426,30,10.0,0.015,False
XRPUSDT,SHORT,99,1.4253922411370261,1.3845,5.737682577029686,2.868841288514843,24,max_hold,0.06364431486880426,20,10.0,0.015,False
XRPUSDT,SHORT,65,1.3947117799416908,1.3933647334010202,0.09658243086804316,0.09658243086804316,5,trail_stop,0.06364431486880426,10,10.0,0.015,False
SUIUSDT,SHORT,65,0.9641212028500414,0.9576152685554266,1.349609214149148,0.674804607074574,1,trail_stop,0.07035625517812645,20,10.0,0.015,False
SUIUSDT,LONG,84,0.9339550909317953,0.9269941115217092,-6.707904405582398,-0.7453227117313775,16,trail_stop,0.07035625517812645,30,30.0,0.015,False
SUIUSDT,LONG,92,0.9252505139353769,0.9120588577554266,-8.554433192698568,-1.4257388654497614,21,trail_stop,0.07035625517812645,30,20.0,0.015,False
SUIUSDT,LONG,111,0.8742542505969011,0.9010346194574979,21.442570270168705,3.063224324309815,22,trail_stop,0.07035625517812645,10,70.0,0.015,False
