symbol,direction,score,entry_price,exit_price,pnl_usdt,pnl_pct,hold_candles,exit_reason,slippage_pct,leverage,margin,trail_pct,is_low_liq
TRUMPUSDT,SHORT,7,6.231328505369401,5.876134955863495,22.800502281325272,5.700125570331318,28,trail_stop,0.07723543605653799,5,80.0,0.05,False
TRUMPUSDT,SHORT,12,5.9400731674540355,6.101692933501382,-19.045865773675743,-2.7208379676679635,18,trail_stop,0.07723543605653799,10,70.0,0.05,False
TRUMPUSDT,SHORT,12,5.921263414677057,6.045718160026152,-23.645559859857794,-2.1018275430984708,14,trail_stop,0.07723543605653799,15,75.0,0.05,False
TRUMPUSDT,SHORT,82,6.245669161830693,6.38718884673966,-6.7976552027686274,-2.2658850675895423,2,trail_stop,0.07723543605653799,20,15.0,0.05,False
TRUMPUSDT,SHORT,120,6.87568542964495,7.245282232901718,-2.6877087894628544,-5.375417578925709,0,trail_stop,0.07723543605653799,10,5.0,0.05,False
TRUMPUSDT,SHORT,152,7.849500218572689,7.4239795177352645,40.65743254238662,5.42099100565155,31,trail_stop,0.07723543605653799,5,150.0,0.05,False
TRUMPUSDT,SHORT,22,7.187730090331897,7.686846054832227,-19.095999503683764,-6.943999819521368,10,trail_stop,0.07723543605653799,5,55.0,0.05,False
TRUMPUSDT,SHORT,40,7.626910535610462,8.008299145198455,-27.50310683388742,-5.000564878888621,21,trail_stop,0.07723543605653799,5,110.0,0.05,False
TRUMPUSDT,SHORT,120,7.3182007270353475,6.931149171830404,33.0555598330914,5.2888895732946235,52,trail_stop,0.07723543605653799,5,125.0,0.05,False
TRUMPUSDT,SHORT,12,6.647857771638145,5.828848462119959,27.71977093549984,12.319898193555485,5,trail_stop,0.07723543605653799,15,15.0,0.05,False
TRUMPUSDT,SHORT,12,6.186218354153739,6.434115582037229,-1.0018124712532948,-4.007249885013179,9,trail_stop,0.07723543605653799,5,5.0,0.05,False
TRUMPUSDT,SHORT,22,6.080011733041468,5.793120889069287,106.16828178627561,4.71859030161225,87,trail_stop,0.07723543605653799,15,150.0,0.05,False
TRUMPUSDT,SHORT,85,5.351379970617688,5.0186732026473635,93.2582165152968,6.21721443435312,115,trail_stop,0.07723543605653799,10,150.0,0.05,False
TRUMPUSDT,SHORT,72,4.914550897309067,4.907287239607032,2.3647842022797234,0.14779901264248269,21,trail_stop,0.07723543605653799,20,80.0,0.05,False
TRUMPUSDT,SHORT,17,4.860243268390209,4.961478190394712,-4.165837651086688,-2.082918825543344,1,trail_stop,0.07723543605653799,20,10.0,0.05,False
TRUMPUSDT,SHORT,85,5.0499065215034395,5.166361306650055,-6.9182341089322685,-2.306078036310756,2,trail_stop,0.07723543605653799,20,15.0,0.05,False
TRUMPUSDT,SHORT,124,5.479248187845846,5.664206381761243,-20.253675786288486,-3.375612631048081,7,trail_stop,0.07723543605653799,15,40.0,0.05,False
TRUMPUSDT,SHORT,65,5.397331759554379,5.531536633701101,-52.216585576608345,-2.486504075076588,27,trail_stop,0.07723543605653799,15,140.0,0.05,False
TRUMPUSDT,SHORT,14,5.387812907530276,5.5246396561462,-11.428020596466826,-2.539560132548184,5,trail_stop,0.07723543605653799,15,30.0,0.05,False
TRUMPUSDT,SHORT,119,5.36107820616468,4.816917496008273,213.15441547083316,10.150210260515864,28,trail_stop,0.07723543605653799,15,140.0,0.05,False
