symbol,direction,score,entry_price,exit_price,pnl_usdt,pnl_pct,hold_candles,exit_reason,slippage_pct,leverage,margin,trail_pct,is_low_liq
SUIUSDT,LONG,33,0.9300384909614708,0.9273582721043317,-8.645509459619113,-0.28818364865397045,57,trail_stop,0.07060445387063038,30,100.0,0.002,False
SUIUSDT,LONG,33,0.9311848474961274,0.927968483212649,-1.6579467118917466,-0.34540556497744723,7,trail_stop,0.07060445387063038,30,16.0,0.002,False
SUIUSDT,LONG,33,0.965429278859171,0.9595870032907644,-2.541621424233484,-0.6051479581508296,6,trail_stop,0.07060445387063038,30,14.0,0.002,False
SUIUSDT,LONG,33,0.971648322188077,0.9691100324720656,-5.015720341869141,-0.2612354344723511,31,trail_stop,0.07060445387063038,30,64.0,0.002,False
SUIUSDT,LONG,15,0.968383239300106,0.9647123424571908,-0.45488976189652697,-0.3790748015804391,1,trail_stop,0.07060445387063038,30,4.0,0.002,False
SUIUSDT,LONG,15,0.9568864680843736,0.9527418860311764,-2.598792348789982,-0.43313205813166367,9,trail_stop,0.07060445387063038,30,20.0,0.002,False
SUIUSDT,LONG,15,0.9520555995166035,0.9485675382498093,-3.0775213817288947,-0.36637159306296363,13,trail_stop,0.07060445387063038,30,28.0,0.002,False
SOLUSDT,LONG,33,85.26980621148786,85.02953268452687,-8.453409394354413,-0.2817803131451471,58,trail_stop,0.06580181016476612,30,100.0,0.002,False
SOLUSDT,LONG,15,86.70681519562024,86.26644151005715,-3.6567950614963816,-0.5078882029856086,11,trail_stop,0.06580181016476612,30,24.0,0.002,False
SOLUSDT,LONG,33,86.27167502438435,85.95150870675849,-2.004015935347249,-0.3711140621013424,8,trail_stop,0.06580181016476612,30,18.0,0.002,False
SOLUSDT,LONG,15,86.70293631985729,86.40390069553315,-2.2763186626786327,-0.34489676707252015,10,trail_stop,0.06580181016476612,30,22.0,0.002,False
TRUMPUSDT,LONG,40,2.9275605467978196,2.915590659088989,-2.698535439845768,-0.4088690060372375,10,trail_stop,0.09442340791738767,30,22.0,0.002,False
TRUMPUSDT,LONG,40,2.9212549758404407,2.9122882093643594,-0.9208473635720459,-0.30694912119068196,4,trail_stop,0.09442340791738767,30,10.0,0.002,False
TRUMPUSDT,LONG,18,2.9567892674698797,2.9429720722904014,-0.5607648268272434,-0.4673040223560362,1,trail_stop,0.09442340791738767,30,4.0,0.002,False
TRUMPUSDT,LONG,36,2.9456525351103786,2.935913439802945,-1.7853807953683551,-0.33062607321636206,8,trail_stop,0.09442340791738767,30,18.0,0.002,False
