symbol,direction,score,entry_price,exit_price,pnl_usdt,pnl_pct,hold_candles,exit_reason,slippage_pct,leverage,margin,trail_pct,is_low_liq
TRUMPUSDT,SHORT,19,3.4163529554006966,3.4423085627568715,-11.396191067645665,-0.7597460711763777,1,trail_stop,0.07742160278745452,15,100.0,2.0,False
TRUMPUSDT,SHORT,18,3.391673050749597,3.4192144320379767,-73.08264325201853,-0.8120293694668725,6,trail_stop,0.07742160278745452,30,300.0,2.0,False
TRUMPUSDT,SHORT,10,3.409370726043068,3.378,193.22781235615668,0.9201324397912223,48,max_hold,0.07742160278745452,30,700.0,2.0,False
TRUMPUSDT,SHORT,39,3.372387020905923,3.399905200005128,-12.239778054216071,-0.8159852036144046,0,trail_stop,0.07742160278745452,30,50.0,2.0,False
TRUMPUSDT,SHORT,8,3.3387535886126085,3.366118555264354,-18.441365417450058,-0.8196162407755581,19,trail_stop,0.07742160278745452,5,450.0,2.0,False
TRUMPUSDT,SHORT,102,3.386463460626011,3.416625007290965,-200.39631546356958,-0.8906502909491982,17,trail_stop,0.07742160278745452,30,750.0,2.0,False
TRUMPUSDT,SHORT,22,3.4392873344840504,3.479098158662049,-104.1778085853755,-1.1575312065041723,5,trail_stop,0.07742160278745452,30,300.0,2.0,False
TRUMPUSDT,SHORT,69,3.448441187583237,3.369,518.3288980130474,2.303683991169099,48,max_hold,0.07742160278745452,30,750.0,2.0,False
TRUMPUSDT,SHORT,1,3.377383149825784,3.406020246991614,-8.47907859293592,-0.847907859293592,8,trail_stop,0.07742160278745452,10,100.0,2.0,False
TRUMPUSDT,SHORT,20,3.249676484572765,3.227,69.78074488466024,0.6978074488466024,48,max_hold,0.07742160278745452,10,1000.0,2.0,False
TRUMPUSDT,SHORT,11,3.2371819232695573,3.265238379191349,-104.00325932916867,-0.8666938277430724,9,trail_stop,0.07742160278745452,30,400.0,2.0,False
TRUMPUSDT,SHORT,4,3.1728131162583573,3.116,537.1868513203439,1.7906228377344795,48,max_hold,0.07742160278745452,30,1000.0,2.0,False
TRUMPUSDT,SHORT,19,3.129700245316698,3.151132292030661,-82.17546103733298,-0.6847955086444414,11,trail_stop,0.07742160278745452,30,400.0,2.0,False
TRUMPUSDT,SHORT,8,3.0749019781459492,3.028,457.5948613577856,1.5253162045259518,48,max_hold,0.07742160278745452,30,1000.0,2.0,False
TRUMPUSDT,SHORT,24,3.0361435161260912,3.055181093207454,-28.216418759887816,-0.627031527997507,2,trail_stop,0.07742160278745452,30,150.0,2.0,False
TRUMPUSDT,SHORT,18,2.9839428082560566,2.965,190.44743287617916,0.6348247762539305,48,max_hold,0.07742160278745452,30,1000.0,2.0,False
TRUMPUSDT,SHORT,20,2.9826769141925653,3.0031148079685632,-30.83489249350622,-0.6852198331890271,5,trail_stop,0.07742160278745452,30,150.0,2.0,False
TRUMPUSDT,SHORT,20,3.0166626418118465,3.036076593149147,-9.653358848392978,-0.6435572565595319,0,trail_stop,0.07742160278745452,30,50.0,2.0,False
TRUMPUSDT,SHORT,45,3.01366496445993,3.0342135279707376,-20.455389454172483,-0.6818463151390828,1,trail_stop,0.07742160278745452,30,100.0,2.0,False
TRUMPUSDT,SHORT,10,3.023657222299651,3.0462737102006883,-22.439535540840236,-0.7479845180280079,1,trail_stop,0.07742160278745452,30,100.0,2.0,False
TRUMPUSDT,SHORT,71,3.015054565495413,2.971,116.89225395673466,1.4611531744591832,48,max_hold,0.07742160278745452,10,800.0,2.0,False
TRUMPUSDT,SHORT,9,2.9786920620209054,3.0106939462503237,-32.23080825049081,-1.0743602750163606,3,trail_stop,0.07742160278745452,30,100.0,2.0,False
TRUMPUSDT,SHORT,18,2.993724455840966,2.942,518.3288235500224,1.7277627451667412,48,max_hold,0.07742160278745452,30,1000.0,2.0,False
TRUMPUSDT,SHORT,16,2.917730383765704,2.946132428941738,-58.40576360460932,-0.9734293934101553,3,trail_stop,0.07742160278745452,30,200.0,2.0,False
TRUMPUSDT,SHORT,22,2.910008150117363,2.898,123.79501531854972,0.4126500510618324,48,max_hold,0.07742160278745452,30,1000.0,2.0,False
TRUMPUSDT,SHORT,19,2.9266956136514763,2.914,21.68933043849508,0.43378660876990155,48,max_hold,0.07742160278745452,5,1000.0,2.0,False
TRUMPUSDT,SHORT,52,2.923293659919999,2.9453454039497187,-90.52150045161058,-0.7543458370967548,7,trail_stop,0.07742160278745452,30,400.0,2.0,False
TRUMPUSDT,SHORT,10,2.8977485650054904,2.9164985013672324,-38.823112373878146,-0.6470518728979691,13,trail_stop,0.07742160278745452,30,200.0,2.0,False
TRUMPUSDT,SHORT,7,2.911743934494773,2.931123209713907,-19.96666841773282,-0.6655556139244273,4,trail_stop,0.07742160278745452,30,100.0,2.0,False
TRUMPUSDT,SHORT,23,2.931728450174216,2.953579598436405,-22.359998854147502,-0.7453332951382502,1,trail_stop,0.07742160278745452,30,100.0,2.0,False
TRUMPUSDT,SHORT,24,2.9386221629602356,2.9634799797042977,-50.75402423090982,-0.845900403848497,12,trail_stop,0.07742160278745452,15,400.0,2.0,False
TRUMPUSDT,SHORT,2,2.8792301559715887,2.869,106.59261765202325,0.3553087255067442,35,end_of_data,0.07742160278745452,30,1000.0,2.0,False
